Date,Panel Serial No.,Operator ID,Assembly Line,Cycle Time (s),Cell Alignment Deviation (mm),Junction Box Attached,Power Output (W),Efficiency (%),Insulation Resistance (MÎ©),Flash Test Result,Visual Inspection,Final Inspection
2025-04-21,SP819428,EMP193,Line 1,1005.9,0.17,No,358.3,18.03,604.6,Fail,Crack,Pass
2025-04-08,SP736702,EMP193,Line 3,980.8,0.24,No,312.5,19.62,990.1,Pass,Scratch,Pass
2025-04-04,SP352954,EMP193,Line 3,887.4,0.37,No,383.7,17.21,227.8,Pass,Crack,Pass
2025-04-17,SP725540,EMP193,Line 1,760.8,0.14,Yes,350.4,20.3,619.7,Pass,Scratch,Pass
2025-04-07,SP189001,EMP193,Line 3,1098.1,0.27,Yes,283.9,21.3,707.5,Fail,Pass,Pass
2025-04-24,SP276624,EMP193,Line 3,786.0,0.43,Yes,319.4,15.77,522.1,Pass,Pass,Fail
2025-04-08,SP752763,EMP193,Line 2,751.3,0.45,Yes,286.6,16.8,851.2,Pass,Pass,Pass
2025-04-26,SP507670,EMP193,Line 3,620.8,0.29,No,376.2,19.43,406.4,Fail,Scratch,Pass
2025-04-16,SP165730,EMP193,Line 1,897.0,0.29,No,354.9,20.27,128.0,Pass,Misalignment,Fail
2025-04-20,SP931664,EMP193,Line 1,1044.9,0.27,Yes,333.3,15.51,423.7,Fail,Pass,Fail
2025-04-23,SP644756,EMP193,Line 3,850.6,0.25,No,353.8,21.43,636.7,Pass,Scratch,Pass
2025-04-26,SP507670,EMP193,Line 3,620.8,0.29,No,376.2,19.43,406.4,Fail,Scratch,Pass
2025-04-28,SP910834,EMP193,Line 3,1181.5,0.4,Yes,328.5,19.37,912.3,Pass,Misalignment,Pass
2025-04-21,SP159583,EMP193,Line 2,971.3,0.34,Yes,362.8,21.14,248.5,Pass,Scratch,Pass
2025-04-22,SP987597,EMP193,Line 2,1069.1,0.29,Yes,295.8,17.78,540.8,Fail,Crack,Pass
2025-04-28,SP368199,EMP193,Line 3,810.7,0.23,Yes,275.3,21.3,882.5,Fail,Crack,Pass
2025-04-04,SP202036,EMP193,Line 2,767.4,0.37,No,352.9,15.36,252.0,Fail,Pass,Fail
2025-04-14,SP738698,EMP193,Line 1,1000.9,0.36,Yes,382.1,20.55,826.8,Pass,Crack,Pass
2025-04-21,SP439675,EMP193,Line 2,970.8,0.28,Yes,312.4,17.84,370.6,Pass,Crack,Pass
2025-04-04,SP768762,EMP885,Line 1,1076.8,0.08,No,360.7,19.24,174.0,Fail,Scratch,Fail
2025-04-04,SP202036,EMP885,Line 2,767.4,0.37,No,352.9,15.36,252.0,Fail,Pass,Fail
2025-04-11,SP825349,EMP885,Line 2,640.7,0.08,Yes,312.0,15.36,745.4,Fail,Scratch,Fail
2025-04-25,SP920961,EMP885,Line 3,892.7,0.13,No,333.0,21.28,963.5,Fail,Crack,Pass
2025-04-13,SP632184,EMP885,Line 1,702.5,0.01,Yes,373.1,17.71,819.1,Pass,Misalignment,Pass
2025-04-21,SP819428,EMP885,Line 1,1005.9,0.17,No,358.3,18.03,604.6,Fail,Crack,Pass
2025-04-24,SP276624,EMP885,Line 3,786.0,0.43,Yes,319.4,15.77,522.1,Pass,Pass,Fail
2025-04-22,SP461787,EMP885,Line 3,942.2,0.02,Yes,360.5,15.89,223.1,Pass,Misalignment,Fail
2025-04-17,SP890542,EMP885,Line 3,757.3,0.31,No,254.2,20.18,627.2,Pass,Scratch,Pass
2025-04-21,SP159583,EMP885,Line 2,971.3,0.34,Yes,362.8,21.14,248.5,Pass,Scratch,Pass
2025-04-28,SP847417,EMP913,Line 2,949.1,0.3,Yes,331.7,20.88,203.9,Fail,Pass,Pass
2025-04-02,SP310509,EMP913,Line 3,1143.2,0.11,No,337.5,19.92,739.5,Pass,Crack,Pass
2025-04-19,SP755983,EMP913,Line 3,815.5,0.35,No,263.3,19.56,239.1,Fail,Scratch,Pass
2025-04-22,SP790431,EMP913,Line 1,699.9,0.42,No,376.9,21.54,151.1,Fail,Pass,Fail
2025-04-29,SP728040,EMP913,Line 2,660.2,0.04,Yes,336.3,15.43,410.5,Pass,Misalignment,Fail
2025-04-08,SP733356,EMP913,Line 2,1097.3,0.15,Yes,383.4,16.46,988.6,Pass,Crack,Pass
2025-04-30,SP301083,EMP913,Line 3,1188.5,0.1,No,317.5,18.6,789.1,Pass,Scratch,Pass
2025-04-05,SP212576,EMP913,Line 1,656.4,0.09,Yes,261.9,20.66,720.8,Pass,Scratch,Pass
2025-04-15,SP265587,EMP913,Line 1,731.7,0.21,Yes,260.7,16.09,864.3,Pass,Pass,Pass
2025-04-25,SP438439,EMP913,Line 1,600.7,0.18,Yes,284.9,21.84,429.1,Fail,Misalignment,Pass
2025-04-12,SP813171,EMP891,Line 3,1064.7,0.26,Yes,371.1,17.38,730.9,Fail,Crack,Pass
2025-04-10,SP800439,EMP891,Line 1,1036.8,0.26,Yes,354.4,16.45,911.1,Fail,Pass,Pass
2025-04-24,SP276624,EMP891,Line 3,786.0,0.43,Yes,319.4,15.77,522.1,Pass,Pass,Fail
2025-04-30,SP654377,EMP891,Line 1,1041.0,0.24,Yes,397.4,16.76,153.7,Pass,Crack,Fail
2025-04-10,SP608020,EMP891,Line 2,922.6,0.08,Yes,268.9,21.76,836.6,Pass,Scratch,Pass
2025-04-15,SP265587,EMP891,Line 1,731.7,0.21,Yes,260.7,16.09,864.3,Pass,Pass,Pass
2025-04-26,SP385930,EMP891,Line 1,799.5,0.35,No,278.4,16.5,586.0,Pass,Pass,Pass
2025-04-08,SP736702,EMP891,Line 3,980.8,0.24,No,312.5,19.62,990.1,Pass,Scratch,Pass
2025-04-28,SP170397,EMP891,Line 3,1035.7,0.26,Yes,347.3,20.96,975.3,Fail,Misalignment,Pass
2025-04-29,SP895021,EMP891,Line 3,1176.6,0.4,Yes,394.9,19.75,946.6,Fail,Pass,Pass
2025-04-05,SP755634,EMP891,Line 2,909.3,0.13,No,272.5,17.86,212.2,Fail,Misalignment,Pass
2025-04-03,SP955179,EMP891,Line 2,1006.2,0.31,Yes,372.5,16.14,557.4,Fail,Crack,Pass
2025-04-25,SP878044,EMP891,Line 1,729.9,0.08,No,367.6,18.59,732.7,Fail,Misalignment,Pass
2025-04-11,SP919930,EMP891,Line 1,704.6,0.18,No,379.9,17.74,811.5,Fail,Pass,Pass
2025-04-27,SP771516,EMP358,Line 3,995.1,0.37,No,304.0,15.03,717.1,Pass,Scratch,Fail
2025-04-15,SP331047,EMP358,Line 3,1128.2,0.13,No,388.2,18.68,792.7,Pass,Crack,Pass
2025-04-28,SP847417,EMP358,Line 2,949.1,0.3,Yes,331.7,20.88,203.9,Fail,Pass,Pass
2025-04-23,SP734046,EMP358,Line 1,852.7,0.21,Yes,260.8,18.89,661.0,Pass,Misalignment,Pass
2025-04-10,SP608020,EMP358,Line 2,922.6,0.08,Yes,268.9,21.76,836.6,Pass,Scratch,Pass
2025-04-20,SP382441,EMP358,Line 2,728.3,0.49,No,259.5,17.93,577.4,Pass,Pass,Pass
2025-04-09,SP316160,EMP358,Line 1,1028.9,0.11,No,271.3,21.32,313.0,Pass,Crack,Pass
2025-04-30,SP624629,EMP358,Line 3,1060.1,0.02,No,263.3,17.92,308.8,Pass,Pass,Pass
2025-04-29,SP728040,EMP358,Line 2,660.2,0.04,Yes,336.3,15.43,410.5,Pass,Misalignment,Fail
2025-04-18,SP479302,EMP358,Line 1,1056.9,0.41,No,256.1,15.78,583.4,Fail,Pass,Fail
2025-04-22,SP817934,EMP745,Line 1,737.2,0.41,No,350.6,20.07,443.7,Fail,Scratch,Pass
2025-04-29,SP728040,EMP745,Line 2,660.2,0.04,Yes,336.3,15.43,410.5,Pass,Misalignment,Fail
2025-04-26,SP253968,EMP745,Line 2,887.4,0.23,No,347.9,17.04,536.6,Fail,Pass,Pass
2025-04-06,SP827906,EMP745,Line 3,715.8,0.43,No,363.3,19.22,981.1,Fail,Misalignment,Pass
2025-04-03,SP900320,EMP745,Line 1,931.9,0.48,Yes,280.3,19.54,196.4,Pass,Scratch,Fail
2025-04-29,SP187040,EMP745,Line 3,735.7,0.36,Yes,359.8,17.23,517.6,Pass,Pass,Pass
2025-04-10,SP608020,EMP745,Line 2,922.6,0.08,Yes,268.9,21.76,836.6,Pass,Scratch,Pass
2025-04-25,SP578340,EMP745,Line 2,640.7,0.16,No,280.0,19.51,756.0,Pass,Misalignment,Pass
2025-04-01,SP512458,EMP745,Line 3,965.9,0.2,Yes,380.2,17.69,663.8,Fail,Pass,Pass
2025-04-24,SP136085,EMP745,Line 2,1045.6,0.06,Yes,308.8,17.02,632.9,Pass,Misalignment,Pass
2025-04-09,SP673198,EMP745,Line 1,1007.2,0.25,Yes,327.5,15.18,899.0,Fail,Crack,Fail
2025-04-14,SP235110,EMP745,Line 2,788.1,0.36,Yes,343.0,17.64,933.9,Pass,Pass,Pass
2025-04-08,SP752763,EMP745,Line 2,751.3,0.45,Yes,286.6,16.8,851.2,Pass,Pass,Pass
2025-04-24,SP237474,EMP745,Line 3,925.8,0.14,No,344.3,19.52,479.1,Fail,Crack,Pass
2025-04-12,SP190669,EMP745,Line 1,891.6,0.02,No,370.4,17.0,833.7,Fail,Misalignment,Pass
2025-04-10,SP127539,EMP745,Line 3,933.6,0.12,Yes,287.9,18.69,491.2,Fail,Scratch,Pass
2025-04-20,SP833659,EMP745,Line 2,731.4,0.42,No,340.8,21.65,606.2,Fail,Crack,Pass
2025-04-10,SP101926,EMP745,Line 1,839.9,0.04,No,267.1,18.49,620.6,Pass,Scratch,Pass
2025-04-11,SP825349,EMP745,Line 2,640.7,0.08,Yes,312.0,15.36,745.4,Fail,Scratch,Fail
2025-04-08,SP286000,EMP745,Line 2,829.6,0.16,Yes,315.8,15.36,179.7,Pass,Scratch,Fail
2025-04-05,SP309901,EMP857,Line 3,728.2,0.2,No,282.1,20.58,773.4,Fail,Pass,Pass
2025-04-26,SP253968,EMP857,Line 2,887.4,0.23,No,347.9,17.04,536.6,Fail,Pass,Pass
2025-04-09,SP686737,EMP857,Line 1,868.9,0.03,No,373.0,20.81,631.1,Fail,Scratch,Pass
2025-04-19,SP488908,EMP857,Line 1,1171.9,0.01,Yes,287.9,16.49,801.4,Fail,Pass,Pass
2025-04-20,SP931664,EMP857,Line 1,1044.9,0.27,Yes,333.3,15.51,423.7,Fail,Pass,Fail
2025-04-02,SP515751,EMP857,Line 1,1181.2,0.06,Yes,340.2,20.71,194.5,Fail,Pass,Fail
2025-04-19,SP755983,EMP857,Line 3,815.5,0.35,No,263.3,19.56,239.1,Fail,Scratch,Pass
2025-04-29,SP728040,EMP857,Line 2,660.2,0.04,Yes,336.3,15.43,410.5,Pass,Misalignment,Fail
2025-04-24,SP237474,EMP857,Line 3,925.8,0.14,No,344.3,19.52,479.1,Fail,Crack,Pass
2025-04-04,SP352954,EMP857,Line 3,887.4,0.37,No,383.7,17.21,227.8,Pass,Crack,Pass
2025-04-25,SP920961,EMP857,Line 3,892.7,0.13,No,333.0,21.28,963.5,Fail,Crack,Pass
2025-04-27,SP224791,EMP857,Line 3,1090.6,0.14,Yes,334.5,20.08,806.7,Pass,Crack,Pass
2025-04-16,SP165730,EMP857,Line 1,897.0,0.29,No,354.9,20.27,128.0,Pass,Misalignment,Fail
2025-04-01,SP239966,EMP857,Line 1,801.6,0.38,Yes,273.7,18.14,235.0,Fail,Misalignment,Pass
2025-04-30,SP268511,EMP857,Line 3,1152.6,0.25,Yes,300.0,18.82,636.9,Pass,Scratch,Pass
2025-04-25,SP878044,EMP857,Line 1,729.9,0.08,No,367.6,18.59,732.7,Fail,Misalignment,Pass
2025-04-02,SP310509,EMP857,Line 3,1143.2,0.11,No,337.5,19.92,739.5,Pass,Crack,Pass
2025-04-05,SP212576,EMP857,Line 1,656.4,0.09,Yes,261.9,20.66,720.8,Pass,Scratch,Pass
2025-04-19,SP695161,EMP233,Line 3,686.9,0.25,Yes,277.3,20.74,151.5,Pass,Crack,Fail
2025-04-27,SP864418,EMP233,Line 1,1077.9,0.17,No,396.8,20.46,186.5,Fail,Misalignment,Fail
2025-04-29,SP885836,EMP233,Line 3,944.1,0.22,No,377.7,18.22,736.3,Pass,Crack,Pass
2025-04-19,SP488423,EMP233,Line 3,1038.5,0.1,No,361.9,19.58,188.6,Pass,Crack,Fail
2025-04-01,SP606932,EMP233,Line 1,1115.8,0.1,Yes,361.0,15.24,352.2,Pass,Crack,Fail
2025-04-30,SP218962,EMP233,Line 3,785.2,0.03,Yes,324.8,20.88,581.4,Pass,Crack,Pass
2025-04-04,SP352954,EMP233,Line 3,887.4,0.37,No,383.7,17.21,227.8,Pass,Crack,Pass
2025-04-30,SP624629,EMP233,Line 3,1060.1,0.02,No,263.3,17.92,308.8,Pass,Pass,Pass
2025-04-27,SP105595,EMP233,Line 1,1127.6,0.41,No,335.7,16.0,865.6,Fail,Crack,Pass
2025-04-06,SP827906,EMP233,Line 3,715.8,0.43,No,363.3,19.22,981.1,Fail,Misalignment,Pass
2025-04-03,SP503570,EMP233,Line 1,1078.8,0.37,No,371.9,18.83,890.2,Pass,Crack,Pass
2025-04-22,SP461787,EMP233,Line 3,942.2,0.02,Yes,360.5,15.89,223.1,Pass,Misalignment,Fail
2025-04-18,SP938236,EMP233,Line 3,1166.5,0.17,No,330.9,21.59,224.2,Fail,Misalignment,Pass
2025-04-08,SP895989,EMP233,Line 3,682.0,0.36,No,319.7,20.53,743.0,Fail,Pass,Pass
2025-04-15,SP331047,EMP233,Line 3,1128.2,0.13,No,388.2,18.68,792.7,Pass,Crack,Pass
2025-04-16,SP932594,EMP233,Line 2,1163.9,0.12,Yes,315.2,21.89,797.8,Pass,Misalignment,Pass
2025-04-10,SP800439,EMP233,Line 1,1036.8,0.26,Yes,354.4,16.45,911.1,Fail,Pass,Pass
2025-04-08,SP895989,EMP233,Line 3,682.0,0.36,No,319.7,20.53,743.0,Fail,Pass,Pass
2025-04-18,SP938236,EMP434,Line 3,1166.5,0.17,No,330.9,21.59,224.2,Fail,Misalignment,Pass
2025-04-06,SP827906,EMP434,Line 3,715.8,0.43,No,363.3,19.22,981.1,Fail,Misalignment,Pass
2025-04-28,SP910834,EMP434,Line 3,1181.5,0.4,Yes,328.5,19.37,912.3,Pass,Misalignment,Pass
2025-04-26,SP412078,EMP434,Line 1,966.6,0.5,No,365.3,18.56,854.2,Pass,Crack,Pass
2025-04-16,SP548903,EMP434,Line 1,1049.0,0.0,No,394.5,18.72,432.4,Pass,Crack,Pass
2025-04-10,SP885226,EMP434,Line 3,750.0,0.13,Yes,305.6,19.06,905.0,Pass,Pass,Pass
2025-04-08,SP752763,EMP434,Line 2,751.3,0.45,Yes,286.6,16.8,851.2,Pass,Pass,Pass
2025-04-14,SP998336,EMP434,Line 2,1056.0,0.17,Yes,284.2,17.99,321.6,Pass,Pass,Pass
2025-04-28,SP910834,EMP434,Line 3,1181.5,0.4,Yes,328.5,19.37,912.3,Pass,Misalignment,Pass
2025-04-03,SP848822,EMP434,Line 2,1197.7,0.39,No,397.3,15.41,224.1,Fail,Pass,Fail
2025-04-04,SP584864,EMP434,Line 1,921.4,0.11,Yes,299.4,16.13,335.3,Pass,Pass,Pass
2025-04-24,SP237474,EMP762,Line 3,925.8,0.14,No,344.3,19.52,479.1,Fail,Crack,Pass
2025-04-19,SP303535,EMP762,Line 1,1007.6,0.18,No,322.3,21.75,366.0,Pass,Scratch,Pass
2025-04-04,SP631654,EMP762,Line 1,781.0,0.11,Yes,380.8,18.93,601.1,Pass,Scratch,Pass
2025-04-15,SP823365,EMP762,Line 3,868.4,0.27,Yes,387.1,20.98,334.0,Pass,Pass,Pass
2025-04-21,SP439675,EMP762,Line 2,970.8,0.28,Yes,312.4,17.84,370.6,Pass,Crack,Pass
2025-04-18,SP827003,EMP762,Line 3,802.1,0.37,No,374.0,16.03,263.0,Pass,Misalignment,Pass
2025-04-09,SP774402,EMP762,Line 1,865.9,0.42,Yes,305.3,21.7,950.1,Pass,Scratch,Pass
2025-04-15,SP169603,EMP762,Line 2,779.9,0.15,Yes,257.1,21.87,316.5,Pass,Crack,Pass
2025-04-03,SP955179,EMP762,Line 2,1006.2,0.31,Yes,372.5,16.14,557.4,Fail,Crack,Pass
2025-04-03,SP583475,EMP762,Line 3,1069.6,0.36,Yes,307.9,20.68,529.4,Pass,Pass,Pass
2025-04-03,SP583475,EMP762,Line 3,1069.6,0.36,Yes,307.9,20.68,529.4,Pass,Pass,Pass
2025-04-27,SP864418,EMP762,Line 1,1077.9,0.17,No,396.8,20.46,186.5,Fail,Misalignment,Fail
2025-04-15,SP823365,EMP762,Line 3,868.4,0.27,Yes,387.1,20.98,334.0,Pass,Pass,Pass
2025-04-08,SP895989,EMP762,Line 3,682.0,0.36,No,319.7,20.53,743.0,Fail,Pass,Pass
2025-04-06,SP766911,EMP762,Line 3,711.3,0.27,Yes,266.4,17.72,646.0,Fail,Crack,Pass
2025-04-05,SP217769,EMP762,Line 1,978.5,0.39,Yes,329.4,21.33,574.2,Fail,Misalignment,Pass
2025-04-14,SP953157,EMP762,Line 3,904.3,0.04,No,339.4,21.3,860.8,Fail,Crack,Pass
2025-04-17,SP890542,EMP762,Line 3,757.3,0.31,No,254.2,20.18,627.2,Pass,Scratch,Pass
2025-04-16,SP846175,EMP762,Line 1,1170.7,0.43,No,318.2,15.57,484.4,Fail,Misalignment,Fail
2025-04-29,SP187040,EMP762,Line 3,735.7,0.36,Yes,359.8,17.23,517.6,Pass,Pass,Pass
2025-04-08,SP752763,EMP727,Line 2,751.3,0.45,Yes,286.6,16.8,851.2,Pass,Pass,Pass
2025-04-17,SP200098,EMP727,Line 3,870.2,0.41,Yes,388.7,17.47,587.3,Fail,Crack,Pass
2025-04-26,SP253968,EMP727,Line 2,887.4,0.23,No,347.9,17.04,536.6,Fail,Pass,Pass
2025-04-13,SP632184,EMP727,Line 1,702.5,0.01,Yes,373.1,17.71,819.1,Pass,Misalignment,Pass
2025-04-09,SP316160,EMP727,Line 1,1028.9,0.11,No,271.3,21.32,313.0,Pass,Crack,Pass
2025-04-09,SP316160,EMP727,Line 1,1028.9,0.11,No,271.3,21.32,313.0,Pass,Crack,Pass
2025-04-03,SP848822,EMP727,Line 2,1197.7,0.39,No,397.3,15.41,224.1,Fail,Pass,Fail
2025-04-11,SP205393,EMP727,Line 3,1147.5,0.4,Yes,362.4,16.42,438.7,Fail,Scratch,Pass
2025-04-01,SP512458,EMP727,Line 3,965.9,0.2,Yes,380.2,17.69,663.8,Fail,Pass,Pass
2025-04-20,SP833659,EMP727,Line 2,731.4,0.42,No,340.8,21.65,606.2,Fail,Crack,Pass
2025-04-28,SP368199,EMP727,Line 3,810.7,0.23,Yes,275.3,21.3,882.5,Fail,Crack,Pass
2025-04-28,SP170397,EMP727,Line 3,1035.7,0.26,Yes,347.3,20.96,975.3,Fail,Misalignment,Pass
2025-04-27,SP979542,EMP727,Line 1,977.3,0.01,No,367.4,19.33,319.8,Pass,Scratch,Pass
2025-04-27,SP105595,EMP727,Line 1,1127.6,0.41,No,335.7,16.0,865.6,Fail,Crack,Pass
2025-04-24,SP355476,EMP727,Line 2,1082.6,0.21,No,395.6,21.45,864.7,Pass,Scratch,Pass
2025-04-02,SP310509,EMP727,Line 3,1143.2,0.11,No,337.5,19.92,739.5,Pass,Crack,Pass
2025-04-04,SP165268,EMP727,Line 1,1073.0,0.21,No,364.8,17.35,617.2,Fail,Pass,Pass
2025-04-06,SP689299,EMP372,Line 3,781.9,0.07,Yes,331.7,18.87,723.9,Pass,Pass,Pass
2025-04-06,SP827906,EMP372,Line 3,715.8,0.43,No,363.3,19.22,981.1,Fail,Misalignment,Pass
2025-04-15,SP331047,EMP372,Line 3,1128.2,0.13,No,388.2,18.68,792.7,Pass,Crack,Pass
2025-04-08,SP327756,EMP372,Line 3,697.7,0.27,No,331.4,21.27,297.6,Pass,Pass,Pass
2025-04-22,SP987597,EMP372,Line 2,1069.1,0.29,Yes,295.8,17.78,540.8,Fail,Crack,Pass
2025-04-03,SP786071,EMP372,Line 2,1120.3,0.29,Yes,379.7,21.27,148.4,Pass,Crack,Fail
2025-04-15,SP169603,EMP372,Line 2,779.9,0.15,Yes,257.1,21.87,316.5,Pass,Crack,Pass
2025-04-25,SP878044,EMP372,Line 1,729.9,0.08,No,367.6,18.59,732.7,Fail,Misalignment,Pass
2025-04-12,SP813171,EMP372,Line 3,1064.7,0.26,Yes,371.1,17.38,730.9,Fail,Crack,Pass
2025-04-17,SP945553,EMP372,Line 1,1160.5,0.33,Yes,267.7,19.02,545.5,Fail,Pass,Pass
2025-04-02,SP128708,EMP372,Line 3,884.1,0.24,No,340.1,19.09,727.2,Pass,Crack,Pass
2025-04-27,SP393492,EMP372,Line 1,1092.8,0.16,Yes,317.2,18.64,365.4,Fail,Scratch,Pass
2025-04-04,SP584864,EMP372,Line 1,921.4,0.11,Yes,299.4,16.13,335.3,Pass,Pass,Pass
2025-04-13,SP938548,EMP229,Line 3,852.0,0.05,No,320.2,20.68,858.3,Fail,Pass,Pass
2025-04-15,SP265587,EMP229,Line 1,731.7,0.21,Yes,260.7,16.09,864.3,Pass,Pass,Pass
2025-04-14,SP998336,EMP229,Line 2,1056.0,0.17,Yes,284.2,17.99,321.6,Pass,Pass,Pass
2025-04-13,SP778908,EMP229,Line 1,915.6,0.02,Yes,318.1,18.15,481.5,Pass,Scratch,Pass
2025-04-06,SP766911,EMP229,Line 3,711.3,0.27,Yes,266.4,17.72,646.0,Fail,Crack,Pass
2025-04-07,SP247961,EMP229,Line 3,1161.1,0.06,No,322.3,21.32,502.3,Pass,Pass,Pass
2025-04-11,SP919930,EMP229,Line 1,704.6,0.18,No,379.9,17.74,811.5,Fail,Pass,Pass
2025-04-28,SP847417,EMP229,Line 2,949.1,0.3,Yes,331.7,20.88,203.9,Fail,Pass,Pass
2025-04-06,SP516446,EMP229,Line 2,1028.4,0.45,Yes,317.7,21.29,325.9,Pass,Misalignment,Pass
2025-04-01,SP606932,EMP229,Line 1,1115.8,0.1,Yes,361.0,15.24,352.2,Pass,Crack,Fail
2025-04-27,SP771516,EMP229,Line 3,995.1,0.37,No,304.0,15.03,717.1,Pass,Scratch,Fail
2025-04-05,SP755634,EMP229,Line 2,909.3,0.13,No,272.5,17.86,212.2,Fail,Misalignment,Pass
2025-04-06,SP516446,EMP229,Line 2,1028.4,0.45,Yes,317.7,21.29,325.9,Pass,Misalignment,Pass
2025-04-29,SP728040,EMP229,Line 2,660.2,0.04,Yes,336.3,15.43,410.5,Pass,Misalignment,Fail
2025-04-21,SP497173,EMP229,Line 3,1132.5,0.01,No,287.9,17.83,545.1,Pass,Crack,Pass
2025-04-30,SP268511,EMP229,Line 3,1152.6,0.25,Yes,300.0,18.82,636.9,Pass,Scratch,Pass
2025-04-16,SP566205,EMP229,Line 3,1127.3,0.46,No,326.6,20.31,941.8,Pass,Misalignment,Pass
2025-04-19,SP488423,EMP229,Line 3,1038.5,0.1,No,361.9,19.58,188.6,Pass,Crack,Fail
2025-04-02,SP712460,EMP229,Line 1,934.5,0.34,No,340.2,20.38,121.5,Fail,Misalignment,Fail
2025-04-21,SP189665,EMP229,Line 1,1140.9,0.34,No,314.8,16.6,825.9,Fail,Crack,Pass
2025-04-22,SP987597,EMP329,Line 2,1069.1,0.29,Yes,295.8,17.78,540.8,Fail,Crack,Pass
2025-04-01,SP239966,EMP329,Line 1,801.6,0.38,Yes,273.7,18.14,235.0,Fail,Misalignment,Pass
2025-04-02,SP310509,EMP329,Line 3,1143.2,0.11,No,337.5,19.92,739.5,Pass,Crack,Pass
2025-04-23,SP985612,EMP329,Line 3,998.9,0.17,No,341.2,15.42,276.8,Pass,Crack,Fail
2025-04-03,SP900320,EMP329,Line 1,931.9,0.48,Yes,280.3,19.54,196.4,Pass,Scratch,Fail
2025-04-04,SP352954,EMP329,Line 3,887.4,0.37,No,383.7,17.21,227.8,Pass,Crack,Pass
2025-04-24,SP355476,EMP329,Line 2,1082.6,0.21,No,395.6,21.45,864.7,Pass,Scratch,Pass
2025-04-03,SP848822,EMP329,Line 2,1197.7,0.39,No,397.3,15.41,224.1,Fail,Pass,Fail
2025-04-22,SP560884,EMP329,Line 2,1188.9,0.22,Yes,375.1,19.49,434.6,Pass,Crack,Pass
2025-04-20,SP420365,EMP329,Line 1,609.9,0.07,Yes,382.7,19.49,407.7,Pass,Misalignment,Pass
2025-04-11,SP825349,EMP329,Line 2,640.7,0.08,Yes,312.0,15.36,745.4,Fail,Scratch,Fail
2025-04-29,SP794820,EMP329,Line 3,897.0,0.08,Yes,368.3,15.03,853.1,Pass,Misalignment,Fail
2025-04-14,SP738698,EMP329,Line 1,1000.9,0.36,Yes,382.1,20.55,826.8,Pass,Crack,Pass
2025-04-11,SP205393,EMP329,Line 3,1147.5,0.4,Yes,362.4,16.42,438.7,Fail,Scratch,Pass
2025-04-25,SP688964,EMP329,Line 2,749.9,0.48,Yes,273.7,15.11,882.7,Fail,Crack,Fail
2025-04-05,SP553807,EMP495,Line 1,743.5,0.3,No,376.1,18.33,228.6,Fail,Misalignment,Pass
2025-04-07,SP441277,EMP495,Line 3,984.3,0.14,Yes,374.0,17.91,485.7,Fail,Pass,Pass
2025-04-26,SP507670,EMP495,Line 3,620.8,0.29,No,376.2,19.43,406.4,Fail,Scratch,Pass
2025-04-10,SP127539,EMP495,Line 3,933.6,0.12,Yes,287.9,18.69,491.2,Fail,Scratch,Pass
2025-04-24,SP764494,EMP495,Line 2,601.9,0.41,No,365.5,16.87,770.0,Pass,Pass,Pass
2025-04-18,SP827003,EMP495,Line 3,802.1,0.37,No,374.0,16.03,263.0,Pass,Misalignment,Pass
2025-04-04,SP165268,EMP495,Line 1,1073.0,0.21,No,364.8,17.35,617.2,Fail,Pass,Pass
2025-04-13,SP646830,EMP495,Line 1,1120.7,0.43,No,297.4,20.96,596.4,Pass,Crack,Pass
2025-04-15,SP823365,EMP495,Line 3,868.4,0.27,Yes,387.1,20.98,334.0,Pass,Pass,Pass
2025-04-28,SP379738,EMP495,Line 1,706.2,0.49,Yes,395.4,18.56,484.1,Fail,Pass,Pass
2025-04-15,SP265587,EMP495,Line 1,731.7,0.21,Yes,260.7,16.09,864.3,Pass,Pass,Pass
2025-04-28,SP847417,EMP495,Line 2,949.1,0.3,Yes,331.7,20.88,203.9,Fail,Pass,Pass
2025-04-11,SP644839,EMP495,Line 2,848.7,0.44,Yes,252.9,17.3,422.1,Pass,Scratch,Pass
2025-04-08,SP286000,EMP495,Line 2,829.6,0.16,Yes,315.8,15.36,179.7,Pass,Scratch,Fail
2025-04-23,SP344243,EMP495,Line 3,749.4,0.17,No,298.2,17.03,177.6,Pass,Crack,Fail
